Time [ms], Neuron ID
33,162
41,102
51,74
53,192
67,197
72,147
88,127
91,170
101,166
107,46
124,81
130,157
134,38
134,141
138,98
151,189
156,180
160,96
167,181
181,2
183,134
184,51
184,162
185,168
187,42
189,108
190,99
191,155
194,84
197,40
202,3
205,127
209,119
210,105
221,83
223,142
228,145
239,46
242,158
247,139
252,114
253,80
272,198
279,187
288,51
292,179
293,77
294,112
297,31
297,15
297,9
297,49
297,41
297,67
297,152
297,180
297,166
297,162
298,127
298,105
298,189
298,174
303,10
303,53
303,172
304,12
310,44
310,120
316,196
326,4
333,52
333,87
340,47
353,154
355,27
361,132
363,135
367,173
371,101
373,119
374,8
375,110
386,195
413,103
422,116
424,30
426,40
430,186
431,72
435,29
435,15
435,91
435,71
435,166
436,55
436,116
436,131
436,180
438,162
440,161
440,193
442,142
445,170
468,110
481,115
491,36
494,53
500,180
501,11
503,90
504,141
507,192
509,153
512,6
519,138
521,199
538,192
540,184
544,46
549,177
553,117
561,62
569,7
583,79
586,185
587,146
595,30
595,198
605,31
605,8
605,63
605,37
605,36
605,90
605,122
605,97
605,134
605,129
605,172
605,169
606,106
606,197
610,65
612,75
613,62
618,61
618,48
627,131
641,91
641,150
654,197
656,178
657,33
660,74
665,121
666,152
669,78
670,145
678,15
680,140
681,135
688,89
692,35
696,45
698,194
712,102
716,40
716,39
719,193
722,22
734,118
744,47
750,195
757,25
757,111
769,82
778,90
784,104
787,42
790,192
791,50
791,125
791,119
791,116
791,102
792,31
792,60
792,57
792,64
792,174
796,13
797,32
797,118
798,11
798,59
798,92
798,113
799,24
808,189
811,28
817,168
823,145
824,80
826,12
835,137
836,108
839,45
845,129
862,158
863,103
866,94
866,111
871,92
871,85
872,76
888,57
889,43
889,182
896,31
908,131
912,106
917,44
923,21
937,161
947,27
951,48
957,168
966,198
967,14
970,61
972,63
987,119
1004,95
1006,36
1006,73
1008,55
1009,23
1017,47
1018,29
1018,15
1018,55
1018,116
1019,91
1019,71
1019,166
1022,62
1025,80
1028,143
1030,121
1031,148
1033,136
1034,159
1034,154
1041,64
1042,58
1046,49
1056,153
1072,109
1074,114
1085,64
1093,44
1096,77
1097,165
1108,66
1109,108
1114,15
1121,146
1124,7
1124,1
1124,90
1124,82
1124,68
1124,127
1124,129
1124,188
1124,186
1124,199
1125,8
1125,116
1125,100
1125,173
1128,47
1131,107
1131,150
1133,153
1133,130
1144,198
1158,183
1159,173
1162,73
1163,186
1164,174
1170,191
1171,149
1180,102
1194,42
1194,114
1206,49
1206,92
1211,179
1213,171
1218,50
1225,161
1227,149
1243,122
1256,123
1266,8
1270,120
1274,62
1276,147
1287,78
1308,14
1308,5
1308,4
1308,44
1308,43
1308,93
1308,69
1308,191
1308,171
1309,45
1309,99
1309,97
1312,185
1319,12
1327,34
1332,144
1336,3
1337,80
1350,137
1356,141
1360,158
1365,98
1373,116
1388,107
1392,159
1394,146
1403,196
1410,103
1414,105
1429,157
1430,12
1430,168
1434,21
1434,4
1434,44
1434,121
1434,156
1434,165
1435,91
1435,87
1435,109
1435,195
1439,37
1439,81
1441,52
1441,174
1450,181
1458,126
1461,41
1464,66
1474,57
1501,189
1503,190
1517,55
1521,57
1521,80
1522,118
1524,40
1528,117
1537,72
1539,158
1542,19
1545,62
1545,196
1557,57
1561,73
1571,198
1574,188
1585,97
1590,174
1592,39
1600,29
1617,8
1617,4
1617,38
1617,91
1617,80
1617,117
1617,159
1617,149
1617,160
1618,55
1621,107
1623,134
1625,132
1625,173
1627,98
1628,185
1630,3
1630,129
1631,142
1633,21
1642,13
1642,76
1664,196
1672,10
1672,46
1685,81
1696,97
1700,153
1708,13
1709,57
1711,197
1712,126
1715,131
1717,74
1727,25
1728,51
1728,34
1728,82
1728,65
1728,120
1728,110
1728,145
1728,190
1728,185
1728,184
1728,171
1730,83
1733,122
1737,117
1738,199
1744,92
1766,39
1771,199
1772,53
1777,17
1780,107
1789,31
1797,139
1799,158
1799,179
1801,79
1802,99
1817,113
1819,78
1828,60
1844,21
1848,159
1850,139
1851,96
1860,17
1860,8
1860,45
1860,44
1860,100
1860,145
1860,142
1860,138
1860,130
1860,198
1861,2
1861,36
1861,104
1861,99
1865,5
1865,42
1866,180
1867,141
1868,88
1868,187
1869,169
1875,90
1875,69
1878,148
1882,192
1883,57
1886,101
1887,114
1889,139
1892,16
1894,81
1905,165
1910,98
1914,10
1917,137
1927,172
1928,129
1937,198
1939,85
1942,86
1948,142
1951,193
1960,1
1964,168
1969,110
1972,48
1981,118
1992,124
1993,61
1994,195
1995,30
1999,70
2005,160
2016,164
2020,36
2020,174
2025,39
2026,119
2030,182
2036,92
2042,165
2043,12
2044,179
2056,8
2060,171
2072,31
2072,75
2072,105
2072,156
2072,194
2073,45
2073,35
2073,157
2075,142
2083,143
2085,165
2088,163
2088,196
2096,134
2099,83
2114,88
2119,107
2119,172
2126,112
2138,3
2138,195
2144,130
2145,24
2146,190
2153,156
2158,158
2159,103
2178,131
2185,105
2189,79
2202,192
2207,174
2209,162
2211,8
2212,153
2237,73
2238,21
2243,14
2243,79
2243,167
2243,161
2244,44
2244,43
2244,95
2244,166
2247,154
2249,124
2250,182
2254,185
2259,106
2264,16
2264,141
2279,85
2279,112
2285,165
2286,148
2289,10
2289,73
2309,54
2318,53
2321,26
2334,184
2340,148
2345,171
2354,124
2362,85
2363,45
2369,137
2384,18
2386,73
2390,129
2396,22
2403,1
2405,29
2410,10
2410,57
2413,28
2415,193
2416,141
2432,12
2443,113
2445,106
2448,160
2454,183
2454,177
2469,93
2478,22
2478,21
2478,20
2478,15
2478,39
2478,67
2478,115
2478,112
2478,180
2478,177
2478,171
2479,29
2479,54
2479,52
2479,42
2479,114
2479,154
2484,199
2486,96
2487,40
2487,174
2493,19
2505,98
2513,160
2520,59
2523,162
2537,144
2542,168
2544,172
2548,170
2576,43
2576,71
2576,126
2592,26
2599,25
2606,95
2606,67
2606,118
2606,97
2606,148
2606,130
2607,80
2607,103
2607,96
2607,183
2607,193
2609,141
2610,189
2612,57
2612,198
2613,185
2613,174
2614,22
2615,128
2615,182
2615,169
2622,43
2631,74
2648,172
2649,156
2652,21
2655,109
2656,45
2658,3
2659,176
2664,39
2664,38
2673,86
2683,159
2686,187
2689,105
2700,1
2707,108
2711,66
2712,61
2712,149
2713,111
2714,6
2717,74
2719,52
2722,67
2729,28
2737,60
2741,96
2754,163
2756,144
2760,54
2769,94
2786,35
2793,167
2802,91
2805,16
2810,4
2818,122
2820,198
2821,14
2821,124
2824,166
2832,161
2835,5
2835,80
2838,34
2840,104
2844,24
2848,103
2865,62
2865,174
2870,31
2870,18
2870,60
2870,57
2870,50
2870,64
2870,125
2870,119
2870,116
2870,102
2871,174
2872,181
2874,11
2877,113
2878,28
2878,14
2878,185
2879,91
2884,15
2884,179
2893,25
2894,190
2919,166
2920,39
2929,130
2937,187
2954,168
2961,8
2964,177
2976,25
2976,21
2976,61
2976,57
2976,39
2976,37
2976,91
2976,69
2976,134
2976,133
2976,170
2977,3
2977,99
2977,185
2980,112
2982,87
2984,158
2990,51
2993,119
2993,188
3004,182
3007,104
3019,78
3019,199
3025,68
3029,27
3039,119
3039,157
3045,5
3051,180
3052,20
3061,158
3066,62
3070,58
3071,29
3082,179
3092,83
3092,136
3099,25
3101,172
3103,22
3107,152
3108,34
3113,176
3118,89
3119,153
3120,45
3121,126
3122,67
3126,160
3148,16
3151,151
3154,106
3157,195
3168,26
3168,59
3168,55
3168,92
3168,76
3168,139
3168,190
3169,52
3169,194
3172,12
3173,64
3174,43
3174,183
3176,24
3178,49
3179,58
3180,4
3180,80
3187,20
3196,193
3206,99
3211,93
3218,112
3227,174
3234,43
3241,127
3241,181
3245,79
3247,167
3258,31
3268,160
3276,77
3285,16
3292,0
3293,108
3295,128
3296,25
3297,153
3326,102
3328,109
3346,165
3365,110
3373,183
3376,190
3378,28
3381,192
3385,23
3387,96
3414,16
3419,168
3422,110
3423,199
3426,40
3426,127
3430,29
3430,20
3430,11
3430,7
3430,32
3430,79
3430,130
3430,129
3431,25
3431,17
3431,34
3431,33
3431,182
3432,189
3436,179
3437,67
3438,70
3445,98
3447,115
3450,28
3453,100
3459,142
3462,92
3464,171
3475,78
3477,54
3479,31
3481,39
3482,158
3488,97
3498,159
3508,87
3517,110
3523,51
3524,2
3524,182
3536,45
3536,89
3536,85
3536,64
3536,159
3536,156
3536,137
3536,170
3536,197
3539,10
3541,57
3541,32
3541,176
3542,11
3542,6
3543,38
3544,52
3544,65
3547,135
3550,101
3553,118
3555,25
3558,47
3600,168
3606,193
3608,130
3609,181
3610,144
3621,13
3637,8
3645,48
3653,99
3658,186
3664,1
3664,151
3677,0
3684,168
3690,170
3707,127
3709,117
3712,27
3714,14
3714,2
3714,66
3714,116
3714,103
3714,102
3714,165
3714,198
3714,196
3715,138
3716,146
3721,188
3723,22
3723,194
3723,193
3724,70
3725,18
3725,155
3731,191
3732,84
3732,134
3732,180
3737,185
3742,140
3745,93
3771,79
3778,19
3778,169
3779,147
3784,181
3792,170
3808,9
3814,131
3817,114
3818,128
3825,153
3832,193
3833,33
3839,31
3841,116
3867,45
3868,169
3871,41
3878,117
3879,173
3880,14
3880,88
3881,47
3884,80
3890,133
3905,6
3909,78
3911,92
3915,127
3921,5
3924,150
3929,119
3933,48
3949,60
3967,31
3967,60
3967,57
3967,50
3967,125
3967,119
3967,102
3968,64
3968,116
3968,174
3971,11
3973,120
3974,47
3975,28
3975,162
3979,75
3982,103
3999,87
4019,143
4023,27
4033,7
4039,110
4040,138
4044,23
4047,161
4052,96
4059,45
4062,104
4074,53
4081,50
4082,177
4083,127
4089,82
4113,199
4120,7
4132,72
4132,172
4135,162
4138,179
4142,70
4145,44
4152,85
4153,0
4155,29
4160,199
4181,114
4182,149
4184,184
4204,154
4207,14
4218,46
4222,184
4228,45
4233,48
4243,186
4249,84
4260,20
4260,51
4260,48
4260,92
4260,80
4260,126
4260,150
4261,26
4261,132
4261,192
4264,76
4265,108
4265,131
4265,167
4266,12
4266,45
4267,135
4269,49
4271,124
4275,165
4279,102
4281,178
4282,159
4283,32
4283,125
4286,35
4289,54
4316,47
4317,66
4321,177
4326,195
4327,84
4328,74
4342,141
4342,193
4348,97
4353,46
4361,189
4365,183
4368,62
4374,165
4384,160
4387,113
4389,30
4389,16
4389,47
4389,83
4389,82
4389,76
4389,69
4389,146
4389,134
4389,167
4390,128
4390,170
4393,88
4394,11
4395,12
4395,34
4396,181
4397,179
4399,10
4401,91
4404,90
4407,152
4409,122
4411,101
4412,192
4413,141
4425,40
4433,132
4439,112
4446,130
4453,39
4457,183
4459,68
4461,53
4477,67
4483,180
4486,28
4491,185
4495,54
4495,73
4506,119
4507,176
4522,93
4526,76
4533,111
4543,189
4547,13
4549,129
4554,96
4554,136
4555,131
4559,142
4561,176
4561,197
4584,171
4585,41
4593,75
4597,31
4597,60
4597,57
4597,64
4597,125
4597,119
4597,116
4597,102
4597,174
4598,50
4600,185
4601,11
